Autor,Posts,Date,content
"
eab",54 posts,10/31/2021 06:53  PM,"


	Let me first say that I love these discussions …Thank you Artin!


	I would for sure, especially if it had the IQ of the M10-R which I really find hard to beat.  I have a pretty solid lineup of cameras, SL2, Q2, Sony A1 but I really like the M10-R for its output, simplicity of the interface, and the compactness of the body.  But I have a hard time focusing it accurately in some use cases, and I am constantly searching around in the viewfinder for the frame lines as I have pretty bad eyes and must wear glasses.  


	The SL2 user interface is great, the EVF is great, but the body is very large in comparison and just doesn’t work for me as an everyday camera or one you would get lost in a city with.


	If the hypothetical camera had the viewfinder of the SL2, and the same sensor and form factor as the M10-R I would be thrilled.   I should note, that without the M Lenses all of this would be mute, they are what makes it really hum and the range of choices is fabulous.  


	 But maybe we should take this a bit further, would it be possible to simulate the rangefinder experience in an EVF?  Or how about a built in autofocus mechanism in the body ( that may be a bit too far for some….)


Edited Sunday at 06:55  PM by eab

"
"
mujk",307 posts,10/31/2021 07:56  PM,"


	Interchangeable lenses for the 35mm format usually feature both focussing and variable aperture as functions of the lens (and not of the body). This is the case also for most M mount lenses. 


	For me 35mm cameras are portable devices that should have the possibility to take pictures fairly rapidly and without a lot of time consuming setting up and adjustments. To be able to achieve this I want my camera body to support setting the functions of the lens, meaning some sort of coupling between body and lens. From this perspective I personally don't see any reason to buy a 35mm camera that does not support any coupling between the body with any type of lens.


	However, I might possibly buy an EVF camera that could take my M lenses without any coupling for ""slower"" shooting, as long as it can also take fully coupled lenses, e.g. L mount, for ""faster"" shooting.

"
"
Artin","1,624 posts",10/31/2021 09:28  PM,"


	Crazy to say this but I have just seen 3 SL2s pop up in our local Kijiji. As low as 5500 cnd .. that’s about 4600us   
	looks like it will be a dump and pump season coming up.. M240s as low as 2800 dollars .. M10s 4500. 
	 

"
"
Artin","1,624 posts",11/01/2021 11:08  AM,"



		4 minutes ago, markrelova69 said:
	


			Saying “M with no Rangefinder” is like saying “Hamburger without the hamburger” 
		

			but anyway, you’ve described the Fuji XH2. It’ll be cheaper than that. Just wait a few months. 
		



	 



		4 minutes ago, markrelova69 said:
	


			Saying “M with no Rangefinder” is like saying “Hamburger without the hamburger” 
		

			but anyway, you’ve described the Fuji XH2. It’ll be cheaper than that. Just wait a few months. 
		



	How have I described Fuji XH2. ?   Is Fuji XH2. Full frame  is it Manual focus ?  Does it accept M mount lenses without an adapter ?


	 

"
"
Artin","1,624 posts",11/01/2021 11:42  AM,"



		15 minutes ago, markrelova69 said:
	


			You want a Full Frame Fuji. Who cares if you have to put on an adapter? 🤷🏻‍♂️
			 
		

			anyway. Leica may make a Leica Q interchangeable lens edition. Call it the Leica Z… whatever. It won’t be a Leica M though. That’s their rangefinder and it’ll forever be a rangefinder. It’s either a rangefinder or it isn’t a rangefinder and it’s a mirrorless camera. 
			 
		

			you guys want, EVF’s, auto focus, a grip, more buttons, more options, 120FPS 5 million dot viewfinder, animal eye AF, real time tracking, and a few zoom lenses, 8K 60p and 4K at 120p. 
			 
		

			just get a Sony or a Canon. If you want fancy dials get a Fuji XH2. 
			 
		

			why can’t we leave the Leica M alone to be a rangefinder? This is a constant talk in forums and YouTube of Leica users wanting the M to become a full frame Fuji. It’s annoying. 
		



	You really just do not understand what you are reading do you ?  Nobody wants to change the M and it’s rangefinder. Some of us are just asking for a more advanced option for the M lenses. And yes the SL2 comes close but it is still not a perfect solution.  Call it whatever just make it native to the M lens. 
	 It is a known fact that the M10R. Which I do own and use, can benefit huge by IBIS. All the longer fast lenses such as the noctilux and Summilux 50s 75s 90s will benefit by a high Rez EVF. Native low ISO. Big +, electronic hi speed shutter of 1/32000. Huge benefit to all fast lenses.  

"
"
Matlock","1,024 posts",11/01/2021 11:51  AM,"



		41 minutes ago, markrelova69 said:
	


			But Leica does. The brand is their pride and having it made in Germany is part of their identity. The Leica M will continue to be Made in Germany. 
			 
		



	But they are made in Portugal for the main part.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
lct","22,167 posts",11/01/2021 11:54  AM,"


	The L mount is just a compromise providing mediocre results with M lenses like 21/3.4 or 28/2 on full frame cameras and unable to do auto zoom anyway. M lenses deserve a sensor designed for them.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Simone_DF",905 posts,11/01/2021 12:28  PM,"



		22 hours ago, jdlaing said:
	


			M mount is M mount. The evf mirrorless cameras are Q, L, S. You need or want an evf that’s what you pick.
		



	I see.


	The Pixii has a M mount, is that a M camera?

"
"
pgk","11,617 posts",11/01/2021 12:46  PM,"



		42 minutes ago, lct said:
	


			The L mount is just a compromise providing mediocre results with M lenses like 21/3.4 or 28/2 on full frame cameras and unable to do auto zoom anyway. M lenses deserve a sensor designed for them.
		



	And any sensor intended for M lenses will be compromised. Many/most of the M lenses were designed befre the days of digital and as a consequence their light paths vary. So will performance. Look at current EVF cameras and lenses and you will be able to read up and appreciated that their designs are integrated. This creates its own set of compromise - mainly size constraints and most are quite large (although some makers are trying to produce at least some smaller lenses. So any camera intended for use with M lenses must be optimised for wide-angles with significantly tricky light paths or these will perform poorly. A sensor optimised for wide lenses may not work sperbly (as is required with recent Leica M lenses) on others. Trying to make the same camera capable of focussing very fast tele lenses will induce other design problems. Its a balancing act with legacy lenses designed for the original mirrorless camera. If there is a profitable marketplace for the camera described in the OP then somone will make it. But I don't see makers rushing out to do so. I wonder why?

"
"
pgk","11,617 posts",11/01/2021 12:47  PM,"



		5 minutes ago, markrelova69 said:
	


			Just adapt your Leica glass. 
		



	Why are adapters so frowned upon. I have adapters which work just as well as if the lenses was on a native bayonet mount built into the camera, but for some bizarre reason this is often seen as unacceptable. Why?

"
"
ianman","7,949 posts",11/01/2021 12:56  PM,"



		1 hour ago, markrelova69 said:
	


			But Leica does. The brand is their pride and having it made in Germany is part of their identity. The Leica M will continue to be Made in Germany. 
		



	Here we go 


	You wouldn't happen to know what ""M"" stand for would you?

"
"
Matlock","1,024 posts",11/01/2021 01:03  PM,"



		17 minutes ago, markrelova69 said:
	


🤣


			You’re saying Leica M cameras are made in Portugal? 
			 
		

			okay. Sure. 🤣


			the only thing they do in Portugal is stamp the magnesium chassis and send them off to Germany. 
		



	You obviously haven't watched the Leica Video showing the cameras being made in the Portugal plant. The cameras are made in Portugal and final checking is carried out at Wetzler.

"
"
ianman","7,949 posts",11/01/2021 01:06  PM,"

Advertisement (gone after registration)



 

	ummm, anyone else got a strange sensation of déjà vu?

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Matlock","1,024 posts",11/01/2021 01:07  PM,"



		3 minutes ago, markrelova69 said:
	


			and it’s Not made in Portugal whatever some moron here says. 
		



	Thank you for your complement, Perhaps you think Leica is a ""moron"" organisation too. This forum has no place for offensive remarks and it would be appropriate for you to apologise. 

"
"
ianman","7,949 posts",11/01/2021 01:11  PM,"



		1 minute ago, markrelova69 said:
	


			you’re welcome 
		

			but where is the proof that Leica Ms are made in Portugal?
		

			 
		



	It was posted for your attention a couple of weeks agao when you were here using a different name 

"
"
LocalHero1953","8,858 posts",11/01/2021 01:41  PM,"


	This thread seems to have become the place for refugees from dpreview ..... oddly enough, mostly male, judging by the amount of testosterone swirling about. 

"
"
lct","22,167 posts",11/01/2021 01:52  PM,"



		53 minutes ago, pgk said:
	


			And any sensor intended for M lenses will be compromised. Many/most of the M lenses were designed befre the days of digital and as a consequence their light paths vary.
		



	M sensors are designed for M lenses only. The least compromise the better.

"
"
jdlaing","9,328 posts",11/01/2021 02:01  PM,"



		1 hour ago, Simone_DF said:
	


			I see.
		

			The Pixii has a M mount, is that a M camera?
		



	Yes it is. It is a rangefinder camera.

"
"
Ko.Fe.","2,849 posts",11/01/2021 02:08  PM,"

Advertisement (gone after registration)



 


		On 10/30/2021 at 11:46 AM, Anbaric said:
	


			Why not just shove an adapter on the mirrorless camera of your choice, or wait for the SL3?
		



	I don't think where is manufacturer willing to chaise high and higher MP sensors dementia in M sized body.


	While ultra high MP provision was already resolved by same manufacturers even in similar sized bodies via high res mode.  

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Anbaric",888 posts,11/01/2021 02:10  PM,"



		21 minutes ago, markrelova69 said:
	


			you’re welcome 
		

			but where is the proof that Leica Ms are made in Portugal?
		








	In the first minute you can see how much has already been done in Portugal before the camera arrives for completion in Germany. The chassis, top and bottom plates, rangefinder, shutter, shutter speed dial, shutter release and other controls, hotshoe, most of the electronics and the rear LCD are already in place, but not the sensor (or the Red Dot). The camera arrives in a loosely assembled state, and is then partially disassembled for installation of the sensor, followed by calibration, final reassembly and finishing. Perhaps this has changed since the M9 era, but I don't see anything in the M10 video inconsistent with them following the same process today. Note that the M9 was also labelled 'Made in Germany'. The work that is done in Germany must be legally sufficient for that label. Why anyone should care is another matter. The same high standards apply to all Leica's factories, just as they did to Leitz Canada back in the day.I think the factory in Portugal deserves a lot more credit. My pocket binoculars are entirely made there, but the 'Portugal' label is much more discreet than the 'Germany' label on the cameras.

"
"
Simone_DF",905 posts,11/01/2021 02:11  PM,"



		7 minutes ago, jdlaing said:
	


			Yes it is. It is a rangefinder camera.
		



	So all rangefinders are ""M cameras""?

"
"
Herr Barnack","5,040 posts",11/01/2021 02:11  PM,"



		34 minutes ago, LocalHero1953 said:
	


			This thread seems to have become the place for refugees from dpreview ..... oddly enough, mostly male, judging by the amount of testosterone swirling about. 
		



	Testosterone isn't the problem - arrogance, obnoxiousness and a childish lack of emotional self control is the problem.


	This is not the first time we have had someone with less than 20 posts to their name show up and start flinging feces like an enraged chimpanzee in a zoo - and it gets old pretty damn quickly. 


	 


Edited Monday at 02:20  PM by Herr Barnack

"
"
Jeff S","18,643 posts",11/01/2021 02:23  PM,"



		1 hour ago, markrelova69 said:
	


			I would say M lenses need to be updated for the sensors like the M10-R. The current 50 Lux came out before the M8! 
		



	That’s not how it works; the 50 Summilux ASPH shines on the M10-R or M10 Monochrom.  Read the the short Appendix, “ Why Perceptual Megapixels Are Stupid”, at the end of Roger’s article…


https://www.lensrentals.com/blog/2019/10/more-ultra-high-resolution-mtf-experiments/
	 


	Jeff

"
"
lct","22,167 posts",11/01/2021 02:26  PM,"



		Just now, Simone_DF said:
	


			So all rangefinders are ""M cameras""?
		



	To some people like truly yours an M camera is a camera with an M mount, to others it needs to have a rangefinder plus an M mount, but sans M mount it cannot be an M. Like this one for example:


Hello guest!  Please register or sign in to view the hidden content. Hallo Gast!  Du willst die Bilder sehen? Einfach registrieren oder anmelden!"
"
Matlock","1,024 posts",11/01/2021 02:29  PM,"



		2 minutes ago, lct said:
	


			To some people like truly yours an M camera is a camera with an M mount, to others it needs to have a rangefinder plus an M mount, but sans M mount it cannot be an M. Like this one for example:
		

Hello guest!  Please register or sign in to view the hidden content. Hallo Gast!  Du willst die Bilder sehen? Einfach registrieren oder anmelden!


	But they can be friends.

Hello guest!  Please register or sign in to view the hidden content. Hallo Gast!  Du willst die Bilder sehen? Einfach registrieren oder anmelden!"
"
jdlaing","9,328 posts",11/01/2021 02:38  PM,"



		26 minutes ago, Simone_DF said:
	


			So all rangefinders are ""M cameras""?
		



	Not all. Rangefinders with an M mount are.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
charlesphoto99","1,823 posts",11/01/2021 02:41  PM,"



		3 hours ago, markrelova69 said:
	


			I find the Leica M very comfortable. 🤷🏻‍♂️ Adding a grip to it like a Sony would be horrid. It would completely ruin the aesthetics and it is very important to Leica that the M retains its classic look. It is the epitome of the camera. And the way it is now is extremely comfortable. If you need anything else then yes, get an add on grip. 
		



	All I'm doing is questioning how many of the exact same digital M models do we need with incremental interior changes only? Time for them to do something semi-radical - it may sink or swim, but at least it would give some choice (don't like the body changes of the M12? Well, there always the M11, M10-R, etc etc).


	And of course it wouldn't be 'like a Sony' - it would be like a Leica. 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Simone_DF",905 posts,11/01/2021 02:48  PM,"



		5 minutes ago, jdlaing said:
	


			Not all. Rangefinders with an M mount are.
		



	I think I've heard someone on this forum mentioning that M stands for Messsucher, ""combined range-measuring viewfinder""


	So all rangefinders can be called M cameras, right? I'm pretty sure my Olympus Trip 35 is a M. It has a ""combined range-measuring viewfinder"", therefore it falls into the Messsucher category.

"
"
jdlaing","9,328 posts",11/01/2021 02:49  PM,"



		Just now, Simone_DF said:
	


			I think I've heard someone on this forum mentioning that M stands for Messsucher, ""combined range-measuring viewfinder""
		

			So all rangefinders can be called M cameras, right? I'm pretty sure my Olympus Trip 35 is a M. It has a ""combined range-measuring viewfinder"", therefore it falls into the Messsucher category.
		



	If that’s what you like then by all means. Call it whatever you like.

"
"
SrMi","1,853 posts",11/01/2021 02:54  PM,"



		14 minutes ago, jdlaing said:
	


			Not all. Rangefinders with an M mount are.
		



	Are Nikon DSLRs F cameras, and SL cameras are L cameras? That is not how they are typically called, instead it is an M-mount, F-mount, or L-mount cameras.

"
"
SrMi","1,853 posts",11/01/2021 02:55  PM,"



		7 minutes ago, Simone_DF said:
	


			I think I've heard someone on this forum mentioning that M stands for Messsucher, ""combined range-measuring viewfinder""
		

			So all rangefinders can be called M cameras, right? I'm pretty sure my Olympus Trip 35 is a M. It has a ""combined range-measuring viewfinder"", therefore it falls into the Messsucher category.
		



	That is ... ahem ... a very unconventional way to call rangefinder cameras.

"
"
Al Brown",594 posts,11/01/2021 02:59  PM,"



		1 hour ago, ianman said:
	


			ummm, anyone else got a strange sensation of déjà vu?
		



	I do, but it was another username.


	 

"
"
pgk","11,617 posts",11/01/2021 03:02  PM,"

Advertisement (gone after registration)



 


		1 hour ago, lct said:
	


			M sensors are designed for M lenses only. The least compromise the better.
		



	But M lenses vary in the way they project the image as demonstrated by the 21mm Super-Angulon. So depending on the M lens you are using, there will be some compromise; probably least with lenses designed for digital M cameras though. Of course, if absolute image 'quality' is not of the highest concern then this isn't a problem. I use an M adapter on both the SL and Sony A series. For many/most shots any differences will almost certainly pass most viewers of the resulting images by.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Sailronin","1,851 posts",11/01/2021 03:03  PM,"


	Considering that my M9 was purchased for $8K and sold for $3K and my S(006) was purchased for $16K and copies on ebay now sell for around $3K, no, I will not buy any future digital Leica.  


	I know that ""digital decay"" is common on all digital equipment but with the high cost of ""buy in"" on Leica it's a very poor investment.


	On the other hand my MP is worth more than I paid for it as was the M7 I sold for the MP.  I love the results from the S(006) and will keep it until it dies  but analog Leica is the future for me.


Edited Monday at 03:03  PM by Sailronin

"
"
SrMi","1,853 posts",11/01/2021 03:09  PM,"



		2 hours ago, markrelova69 said:
	


			Don’t tell me you also believe the Leica M is made in Portugal…. 
		



	Here is a report of Leica Portugal factory tour:


https://www.fdtimes.com/wp-content/uploads/2017/02/80FDTimes-LEICA-PortugalFactoryTour.pdf


	Erwin Puts writes:


... it is a myth that modern Leica cameras are made in Wetzlar. Final treatment and assembly is done in Portugal. Only the last stage of the assembly occurs in Wetzlar. The main components were manufactured in Portugal since the late 1980s when old Wetzlar machines were transferred to Portugal.


	 

"
"
Anbaric",888 posts,11/01/2021 03:11  PM,"



		29 minutes ago, charlesphoto99 said:
	


			All I'm doing is questioning how many of the exact same digital M models do we need with incremental interior changes only? Time for them to do something semi-radical - it may sink or swim, but at least it would give some choice (don't like the body changes of the M12? Well, there always the M11, M10-R, etc etc).
		

			And of course it wouldn't be 'like a Sony' - it would be like a Leica. 
		



	I don't know that there's room for semi-radical between conservative (M) and radical (SL). They've already made the decision that if you want a 'modern' camera, you either use your old-style lenses with an adapter, or buy the new lenses, much as they did when they switched from the LTM to the M system nearly 70 years ago.


Edited Monday at 03:12  PM by Anbaric

"
"
leica4life21",0 posts,11/01/2021 03:13  PM,"



		1 hour ago, Anbaric said:
	







			In the first minute you can see how much has already been done in Portugal before the camera arrives for completion in Germany. The chassis, top and bottom plates, rangefinder, shutter, shutter speed dial, shutter release and other controls, hotshoe, most of the electronics and the rear LCD are already in place, but not the sensor (or the Red Dot). The camera arrives in a loosely assembled state, and is then partially disassembled for installation of the sensor, followed by calibration, final reassembly and finishing. Perhaps this has changed since the M9 era, but I don't see anything in the M10 video inconsistent with them following the same process today. Note that the M9 was also labelled 'Made in Germany'. The work that is done in Germany must be legally sufficient for that label. Why anyone should care is another matter. The same high standards apply to all Leica's factories, just as they did to Leitz Canada back in the day.I think the factory in Portugal deserves a lot more credit. My pocket binoculars are entirely made there, but the 'Portugal' label is much more discreet than the 'Germany' label on the cameras.
		



	This is a video of the German factory (with German people) making a Leica M9 from beginning to end. 

"
"
Simone_DF",905 posts,11/01/2021 03:22  PM,"



		31 minutes ago, jdlaing said:
	


			If that’s what you like then by all means. Call it whatever you like.
		



	Fair enough. Then I can also call an hypotetical M mount camera with an EVF a M.

"
"
Kwesi",816 posts,11/01/2021 03:26  PM,"

Advertisement (gone after registration)



 


		1 minute ago, Simone_DF said:
	


			Fair enough. Then I can also call an hypotetical M mount camera with an EVF a M.
		



	Ofcourse you can. Unfortunately Leica won't make one.

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
pippy","3,167 posts",11/01/2021 03:32  PM,"



		35 minutes ago, Simone_DF said:
	


			...So all rangefinders can be called M cameras, right?
		



	Not quite, Simone.


	All you can really say is that the majority of rangefinder cameras can be described as having been made to incorporate some form of a messsucher design. Once you start to get in to M-cameras you are talking about one particular model-series (M-mount) from one particular manufacturer.


	Leica's earlier LTM model II and III bodies, for instance, can not accurately be described as being Leica M cameras.


	Philip.

"
"
Simone_DF",905 posts,11/01/2021 03:32  PM,"



		5 minutes ago, Kwesi said:
	


			Ofcourse you can. Unfortunately Leica won't make one.
		



	No problem, I'll just buy something else.

"
"
jaapv","66,389 posts",11/01/2021 03:50  PM,"



		2 hours ago, Matlock said:
	


			You obviously haven't watched the Leica Video showing the cameras being made in the Portugal plant. The cameras are made in Portugal and final checking is carried out at Wetzler.
		



	Not just checking - final assembly, checking and shipping. Portugal makes the subassemblies, but the top cover and other machined parts,  and pressed parts like lens hoods,  come from  from Weller Feinmechanik, a separate company on the Leitz Park. 

"
"
Matlock","1,024 posts",11/01/2021 03:57  PM,"



		3 minutes ago, jaapv said:
	


			Not just checking - final assembly, checking and shipping. Portugal makes the subassemblies, but then, the top cover and other machined parts come from Weller Feinmechanik, a separate company on the Leitz Park.
		



	I was aiming for a simple and straight forward answer to a Troll rather than going into depth. However the fact remains that Leica's are, in the main, manufactured in Portugal.

"
"
andybarton","38,716 posts",11/01/2021 03:58  PM,"


Mods have been busy moderating this afternoon.


Posters (with multiple registrations and names, all from the same desk) and posts have been removed, and banned as appropriate. Unfortunately, it is not possible to block IP address ranges, as there could be legitimate members posting from the same area.


This person will continue to be dealt with appropriately, as I am sure that they have nothing better to do than re register here and troll. They have been trolling the forum for a while, as many of you have noticed.


Please report any ""suspicious"" trolling behaviour.


That is all.


Thanks


	 

"
"
Tailwagger","2,105 posts",11/01/2021 04:02  PM,"



		30 minutes ago, Simone_DF said:
	


			No problem, I'll just buy something else.
		



	The only thing hypothetical about this supposition, IMO, is the price.  It's coming. 


	For years, folks have repeatedly mentioned a Q ILC, which to date has been a total nonstarter. Those clamoring for it in the past didn't seem to realize that the Q body has no shutter, it's in the lens assembly, nor was it designed to accommodate one.  But the situation, as it often does, has changed.  The Z9 intro suggests that with a stacked CMOS unit, it's now possible to produce a pro-level camera sans mechanical shutter.  Given Leica seems to be moving to Sony sensors, it's shelved any notion of an EVF based RF mechanism and every time this subject comes up someone says buy an adapter and a Sony, my bet is that we will see such a camera with IBIS, shutter speeds in excess of 1/16000th, etc within the next year or two.  Such a camera is inevitable, though I suspect it will fetch far more than $3500, likely $5500 at a minimum.  I also suspect that even some of the most militant RF users will be forced to at least consider it when the M hits 12K a copy a couple of years from now. 


Edited Monday at 04:03  PM by Tailwagger

"
"
jaapv","66,389 posts",11/01/2021 04:05  PM,"



		5 minutes ago, andybarton said:
	


Mods have been busy moderating this afternoon.


That is all.


			 
		



	It is weird that there is something in a hypothetical camera that makes people behave in a way that they would never dare to do face to face...🙄

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
Artin","1,624 posts",11/01/2021 04:07  PM,"



		1 minute ago, jaapv said:
	


			It is weird that there is something in a hypothetical camera that makes people behave in a way that they would never dare to do face to face...🙄




	My apologies fellows..

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
ianman","7,949 posts",11/01/2021 04:08  PM,"



		4 minutes ago, jaapv said:
	


			It is weird that there is something in a hypothetical camera that makes people behave in a way that they would never dare to do face to face...🙄




	Was that newbie the same as last time a couple of weks ago? Same attitude, same pattern, same insults, same ignorance.


	Edit: Have just read Andy's full post. Thanks mods 


	 


Edited Monday at 04:09  PM by ianman

"
"
BlackBarn",624 posts,11/01/2021 04:26  PM,"


	The perpetual need for wanting enhanced technology in, for what is simply a tool, can also be an excuse for lack of adaptive skill…..an extension of a ‘bad craftsperson always blames his tool’ but in this case ‘a not so good craftsperson always wants their tool to do something more or different because if it did their product would be so much better.’ 


	Well the ‘more’ is already here enabling the ‘so much better’  if you perceive things that way.  It might not be in the ‘M’ format but that wouldn’t really matter to a craftsperson as the make and model of the tool doesn’t matter, it’s the REAL need for the specific enhanced offering which does. Be it a Sony Fuji Nikon SL CL Q etc. The craftsperson recognizes the need - sometimes - for a different tool so they simply pick it up and work with it regardless. They don’t expect it to feel the same or perform the same as their other tools  - they never could or should because they are there for different reasons.


	The problem emerges when the belief is that the tool makes the craftsperson  - understandable because  that save time thinking, looking and acquiring skill. The emphases partially switches from ones brain, sensitivity and eyes to the technical brain sensitivity and optics of the tool.  Why do you want that?? Well because if not I would miss the shot. What shot?  Well the 120th of a second thing which just happened which we couldn’t see well enough let alone normally hold my hand steady enough to take it.


	Why did you think that was important to capture?  Because it won’t happen gain and that’s why I need a camera which does everything. Ah….so you have this camera so you can take photos of everything which happens? No but I have to be ready for when ‘it’ happens  but it’s not just about the camera, I’ll select the ones which the camera does well. How many of those do you think there would be? Well the camera takes about 100 - 200k photos a year and probably I select about 100 which are good….which are keepers. 
	Ok….well if you ever consider taking less photos  and want to spend more time looking and selecting moments and thinking and looking again and then refining those moments…like me for example….  I take around 300 photos a year and hope to have maybe 10 of those which I particularly like. My best photographic days are when I go out without my camera but just go out to look compose and feel. Later I revisit but take my camera. Or sometimes there are those special moments which I just have to photographically engage with….and sometimes they are so so special they don’t deserve a photograph…..


	Well  if you want to slow down then I could recommend a camera called the Leica M. It’s a tool which doesn’t get in the way and encourages the craft of looking. People are trying to change it but luckily they have old ones which are mechanical and they can’t change….they are even better.


	 

"
"
jdlaing","9,328 posts",11/01/2021 04:34  PM,"



		1 hour ago, Simone_DF said:
	


			Fair enough. Then I can also call an hypotetical M mount camera with an EVF a M.
		



	Not necessarily. It wouldn’t have a rangefinder. I wouldn’t worry. There won’t be one. 

"
"
lct","22,167 posts",11/01/2021 04:34  PM,"



		1 hour ago, pgk said:
	


			But M lenses vary in the way they project the image as demonstrated by the 21mm Super-Angulon. So depending on the M lens you are using, there will be some compromise; probably least with lenses designed for digital M cameras though. Of course, if absolute image 'quality' is not of the highest concern then this isn't a problem. I use an M adapter on both the SL and Sony A series. For many/most shots any differences will almost certainly pass most viewers of the resulting images by.
		



	IQ is certainly the highest concern for me. I can accept compromises on IQ at Sony prices, not Leica's. YMMV.

"
"
ravinj",986 posts,11/01/2021 04:44  PM,"


	I would never buy a $3,500 M camera with an EVF...


	and


I refuse to join any club that would have me as a member


-- Groucho Marx

"
"
jaapv","66,389 posts",11/01/2021 04:58  PM,"

Advertisement (gone after registration)



 

	If absolute image quality is a concern I would never consider using an Super-Angulon. Nor any M lens, especially older ones, to be honest. They are amazing - for their size, but that same size is a quality constraint. If you want the highest quality possible, you must look at SL (and some R) lenses. If you are looking for character, the story is different...


	 



		25 minutes ago, lct said:
	


			IQ is certainly the highest concern for me. I can accept compromises on IQ at Sony prices, not Leica's. YMMV.
		



	 

"
"
Advertisement
",,,"

						Hallo,
					


Look here: Leica M

"
"
jaapv","66,389 posts",11/01/2021 05:04  PM,"



		59 minutes ago, Tailwagger said:
	


			The only thing hypothetical about this supposition, IMO, is the price.  It's coming. 
		

			For years, folks have repeatedly mentioned a Q ILC, which to date has been a total nonstarter. Those clamoring for it in the past didn't seem to realize that the Q body has no shutter, it's in the lens assembly, nor was it designed to accommodate one.  But the situation, as it often does, has changed.  The Z9 intro suggests that with a stacked CMOS unit, it's now possible to produce a pro-level camera sans mechanical shutter.  Given Leica seems to be moving to Sony sensors, it's shelved any notion of an EVF based RF mechanism and every time this subject comes up someone says buy an adapter and a Sony, my bet is that we will see such a camera with IBIS, shutter speeds in excess of 1/16000th, etc within the next year or two.  Such a camera is inevitable, though I suspect it will fetch far more than $3500, likely $5500 at a minimum.  I also suspect that even some of the most militant RF users will be forced to at least consider it when the M hits 12K a copy a couple of years from now. 
		



	Leica is not moving to Sony sensors. Sony was always a prime supplier - The Digilux2, the X series,they all had Sony sensors, even the 240 was intended to have one ( but Sony could not supply the specification) 

"
"
Simone_DF",905 posts,11/01/2021 05:06  PM,"



		59 minutes ago, Tailwagger said:
	


			The only thing hypothetical about this supposition, IMO, is the price.  It's coming. 
		

			For years, folks have repeatedly mentioned a Q ILC, which to date has been a total nonstarter. Those clamoring for it in the past didn't seem to realize that the Q body has no shutter, it's in the lens assembly, nor was it designed to accommodate one.  But the situation, as it often does, has changed.  The Z9 intro suggests that with a stacked CMOS unit, it's now possible to produce a pro-level camera sans mechanical shutter.  Given Leica seems to be moving to Sony sensors, it's shelved any notion of an EVF based RF mechanism and every time this subject comes up someone says buy an adapter and a Sony, my bet is that we will see such a camera with IBIS, shutter speeds in excess of 1/16000th, etc within the next year or two.  Such a camera is inevitable, though I suspect it will fetch far more than $3500, likely $5500 at a minimum.  I also suspect that even some of the most militant RF users will be forced to at least consider it when the M hits 12K a copy a couple of years from now. 
		



	I know it's coming. It's not a matter of if, it's a matter of when. People said the same when there was a switch from film to digital. ""A digital M? Heresy!"", then again from APS-C to full frame: ""A full frame M? It cannot be done, it's impossible"". 


	Re: Q: actually it was in a Leica survey from last summer. One of the questions about future Qs was if there was interest in a Q with 2-3 interchangeable lenses, so it's Leica itself toying with the idea. I'd buy that in a heartbeat.

"
"
lct","22,167 posts",11/01/2021 05:19  PM,"



		8 minutes ago, jaapv said:
	


			If absolute image quality is a concern I would never consider using an Super-Angulon. Nor any M lens, especially older ones, to be honest. They are amazing - for their size, but that same size is a quality constraint. If you want the highest quality possible, you must look at SL (and some R) lenses. If you are looking for character, the story is different..
		



	I'm after the best IQ possible for M lenses. Any of them. Old or new. Like most of us here i guess. Only sensors designed for M lenses can provide that. 

"
"
Kwesi",816 posts,11/01/2021 05:32  PM,"



		21 minutes ago, Simone_DF said:
	


			I know it's coming. It's not a matter of if, it's a matter of when. People said the same when there was a switch from film to digital. ""A digital M? Heresy!"", then again from APS-C to full frame: ""A full frame M? It cannot be done, it's impossible"". 
		

			Re: Q: actually it was in a Leica survey from last summer. One of the questions about future Qs was if there was interest in a Q with 2-3 interchangeable lenses, so it's Leica itself toying with the idea. I'd buy that in a heartbeat.
		



	I think we will see an interchangeable lens Q long before we see an EVF M

"
"
lct","22,167 posts",11/01/2021 05:39  PM,"



		3 minutes ago, Kwesi said:
	


			I think we will see an interchangeable lens Q long before we see an EVF M
		



	An interchangeable lens Q would not be a Q anymore. Give it an M mount et voilà the EVF M .

"
